Course Name,Provider,Level,Prerequisites,Specialization,Duration,URL
Elements of AI,University of Helsinki & MinnaLearn,Beginner (Non-Technical),None,AI Fundamentals & Building AI,6 weeks (5-10 hours/week),https://www.elementsofai.com/
AI for Everyone,DeepLearning.AI / Andrew Ng (Coursera),Beginner,None,AI Literacy; Ethics; Business Strategy,6hrs,https://www.coursera.org/learn/ai-for-everyone
Introduction to Generative AI,Google Cloud Skills Boost,Beginner,None,Generative AI: Basics; principles; prompt design; prompt tuning and multimodal AI,8 hrs (Google skill badge),https://www.cloudskillsboost.google/paths/118
Machine Learning Crash Course,Google for Developers,Beginner–Intermediate,None,ML with TensorFlow,15 hours,https://developers.google.com/machine-learning/crash-course
Introduction to AI,IBM (Coursera),Beginner,None,AI concepts; ML; DL; LLMs; NLP; computer vision; ethics,10 hours,https://www.coursera.org/learn/introduction-to-ai
Building AI Chatbots Without Programming,IBM (Coursera),Beginner,None,Designing and deploying AI chatbots using IBM watsonx Assistant,14 hours,https://www.coursera.org/learn/building-ai-powered-chatbots
Google AI Essentials Specialization,Google (Coursera),Beginner,None,AI fundamentals for productivity & ethics,4 hours,https://www.coursera.org/specializations/ai-essentials-google
CS50's Introduction to Artificial Intelligence with Python,Harvard (OpenCourseWare),Intermediate,CS50x or at least one year of experience with Python,Python-based AI,Seven weeks (10 – 30 hrs/week),https://cs50.harvard.edu/ai/2024/
Introduction to Deep Learning (MIT 6.S191),MIT (OpenCourseWare and IAP bootcamp),Advanced,None,Deep Learning; NLP; Computer Vision,20hrs,http://introtodeeplearning.com/
Artificial Intelligence,MIT OpenCourseWare,Advanced,None,AI reasoning; search; constraints; architecture; neural nets,24hrs,https://www.classcentral.com/classroom/mit-ocw-6-034-artificial-intelligence-fall-2010-40938
Practical Deep Learning for Coders v5,fast.ai,Advanced,Coding experience,Deep learning for CV; NLP; tabular data; deployment,~13.5hrs + optional part 2 (~30hrs),https://course.fast.ai/
ChatGPT Prompt Engineering for Developers,DeepLearning.AI + OpenAI,Intermediate,None,Prompt Engineering for LLMs,1.5hrs,https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/
Generative AI for Everyone,DeepLearning.AI,Beginner,None,Generative AI tools; prompt engineering; ethics,4hrs,https://www.coursera.org/learn/generative-ai-for-everyone
IBM SkillsBuild AI Modules,IBM,Beginner,None,AI foundations and applications,10 hours,https://skillsbuild.org/adult-learners/explore-learning/artificial-intelligence
AI for All: From Basics to GenAI Practice,NVIDIA Online Academy,Beginner,None,AI basics; GenAI,2.5 hrs,https://academy.nvidia.com/en/course/ai-for-all-from-basics-to-genai-practice/
Building RAG Agents with LLMs,NVIDIA Online Academy,Technical – Intermediate,Intermediate Python experience; Introductory deep learning knowledge (PyTorch and transfer learning),Generative AI/LLM,8 hrs,https://learn.nvidia.com/courses/course-detail?course_id=course-v1:DLI+S-FX-15+V1&ncid
Generative AI Explained,NVIDIA Online Academy,Beginner,None,Generative AI/LLM,2hrs,https://learn.nvidia.com/courses/course-detail?course_id=course-v1:DLI+S-FX-07+V1&ncid
An Even Easier Introduction to CUDA,NVIDIA Online Academy,Introductory,Writing; compiling and running C or C++ code,Accelerated Computing,1hr,https://learn.nvidia.com/courses/course-detail?course_id=course-v1:DLI+T-AC-01+V1
TensorFlow 2.0 Complete Course – Python Neural Networks for Beginners Tutorial,freeCodecamp,Introductory,Python programming,TensorFlow 2.0 and Python neural networks,7hrs,https://www.classcentral.com/classroom/freecodecamp-tensorflow-2-0-complete-course-python-neural-networks-for-beginners-tutorial-105013
